或,戈,8,huò
垣,土,9,yuán
钥,钅,9,yào
麩,麦,11,fū
簪,竹,18,zān
斯,斤,12,sī
澳,氵,15,ào
蠲,虫,23,juān
鐺,钅,4,error
夼,大,6,kuǎnɡ
綿,纟,11,mián
鸾,鸟,11,luán
觇,见,9,chān
仉,亻,4,zhǎnɡ
煌,火,13,huánɡ
筐,竹,12,kuānɡ
曙,日,17,shǔ
襜,衤,11,diē
乞,乙,3,qǐ
狡,犭,9,jiǎo
偢,亻,11,qiào
镤,钅,17,pú
婦,女,3,error
绩,纟,11,jì
胭,月,10,yān
普,日,12,pǔ
諱,讠,14,error
俳,亻,10,pái
雹,雨,13,báo
寻,寸,6,xún
飽,饣,8,bǎo
繾,纟,16,qiǎn
會,人,6,huì
椇,木,8,jǔ
誆,讠,14,error
侈,亻,8,chǐ
猋,犬,4,error
貊,豸,13,mò
册,丿,5,cè
甏,瓦,16,bènɡ
階,阝,14,error
缓,纟,12,huǎn
嶔,山,12,qīn
枘,木,8,ruì
講,讠,11,yàn
榜,木,14,bǎnɡ
负,贝,6,fù
吥,口,7,bù
疤,疒,9,bā
餧,口,12,wèi
樱,木,15,yīnɡ
记,讠,5,jì
趴,足,9,pā
庾,广,11,yǔ
葅,艹,11,zū
蹉,足,16,cuō
卋,一,4,shì
泊,氵,8,bó
遍,辶,12,biàn
問,门,6,wèn
盎,皿,10,ànɡ
当,彐,6,dānɡ
歛,攵,9,xù
叠,又,13,dié
督,目,13,dū
郢,阝,9,yǐnɡ
嗤,口,13,chī
祧,礻,10,tiāo
髦,髟,14,máo
荫,艹,9,yīn
轳,车,9,lú
酷,酉,14,kù
矸,石,8,ɡān
舄,臼,12,xì
榉,木,13,jǔ
瞍,目,14,sǒu
阌,门,11,wén
綑,扌,10,kǔn
鰐,鱼,17,è
箕,竹,14,jī
攖,扌,14,yīnɡ
挚,手,10,zhì
傣,亻,12,dǎi
眢,目,10,yuān
座,广,10,zuò
笪,竹,11,dá
梳,木,11,shū
皷,鼓,13,ɡǔ
锶,钅,14,sī
倸,目,13,cǎi
帼,巾,11,ɡuó
窿,穴,16,lónɡ
餾,饣,13,liú
摀,扌,10,wǔ
胃,月,9,wèi
案,木,10,àn
铋,钅,10,bì
癌,疒,17,ái
鋏,钅,11,jiá
飓,风,12,jù
聘,耳,13,pìn
鑠,钅,10,shuò
坢,土,3,tǔ
珥,王,10,ěr
鉤,钅,4,error
秩,禾,10,zhì
孪,子,9,luán
慮,虍,10,lǜ
潲,氵,15,shào
诵,讠,9,sònɡ
當,彐,6,dānɡ
釹,钅,4,error
峻,山,10,jùn
獺,犭,6,error
怃,忄,7,wǔ
螂,虫,14,lánɡ
變,又,8,biàn
嚌,口,9,jì
岐,山,7,qí
谛,讠,11,dì
溜,氵,13,liū
訟,讠,14,error
璠,王,16,fán
連,辶,11,error
鸧,鸟,9,qiānɡ
天,大,4,tiān
札,木,5,zhá
蚬,虫,10,xiǎn
洱,氵,9,ěr
欵,欠,4,error
邸,阝,7,dǐ
妾,女,8,qiè
蕁,艹,9,qián
乇,丿,3,tuō
淆,氵,11,xiáo
呋,口,7,fū
燎,火,16,liáo
鵑,鸟,5,error
習,乙,3,xí
晗,日,11,hán
汛,氵,6,xùn
機,木,4,error
觞,角,12,shānɡ
灣,氵,12,wān
勤,力,13,qín
鷦,鸟,17,jiāo
葫,艹,12,hú
鯪,鱼,8,error
曬,日,10,shai
良,艮,7,liánɡ
泰,水,10,tài
陷,阝,10,xiàn
兹,丷,9,zī
综,纟,11,zōnɡ
驿,马,8,yì
蔀,艹,13,bù
茄,艹,8,qié
粑,米,10,bā
窕,穴,11,tiǎo
戚,戈,11,qī
钡,钅,9,bèi
瘢,疒,15,bān
銥,钅,11,yī
徧,彳,12,pián
簦,竹,18,dēnɡ
斫,斤,9,zhuó
耮,耒,13,lào
綻,纟,11,zhàn
鈺,钅,10,yù
弼,弓,12,bì
頾,髟,16,zī
臃,月,17,yōnɡ
捄,攵,11,jiù
过,辶,6,ɡuò
闋,门,12,què
答,竹,12,dá
腘,月,4,error
噢,口,15,ō
鍤,钅,14,chā
屦,尸,15,jù
饨,饣,7,tún
婪,女,11,lán
蛭,虫,12,zhì
執,扌,6,zhí
瑶,王,14,yáo
牺,牜,10,xī
黽,黾,7,tǒu
寿,寸,7,shòu
蚂,虫,9,mǎ
誊,言,13,ténɡ
垌,土,9,dònɡ
礓,石,18,jiānɡ
麒,鹿,19,qí
蜗,虫,13,wō
贛,贝,4,error
丝,一,5,sī
澜,氵,15,lán
吡,口,7,bǐ
疠,疒,8,lì
鄣,阝,13,zhānɡ
昭,日,9,zhāo
螬,虫,17,cáo
亲,亠,9,qīn
樵,木,16,qiáo
讴,讠,6,ōu
瀹,氵,20,yuè
總,心,9,zǒnɡ
墾,土,9,kěn
佇,亻,6,zhù
降,阝,8,jiànɡ
协,十,6,xié
鱑,魚,8,error
绒,纟,9,rónɡ
驕,马,9,jiāo
蓖,艹,13,bì
浛,氵,10,hán
俜,亻,9,pīnɡ
歟,欠,7,yú
離,忄,10,lí
古,口,5,ɡǔ
姨,女,9,yí
蕫,艹,15,dǒnɡ
柬,木,9,jiǎn
药,艹,9,yào
幽,幺,9,yōu
翼,羽,17,yì
魿,魚,8,error
极,木,7,jí
耄,耂,10,mào
殉,歹,10,xùn
計,讠,4,jì
羑,羊,9,yǒu
禕,礻,4,error
莙,艹,9,jūn
些,二,8,xiē
愚,心,13,yú
劣,力,6,liè
缦,纟,14,màn
暫,日,12,zàn
礪,石,5,error
悯,忄,10,mǐn
丰,丨,4,fēnɡ
檳,木,14,bīn
贲,贝,9,bēn
券,刀,8,quàn
鄺,阝,5,kuànɡ
尼,尸,5,ní
鬾,鬼,15,mán
資,贝,4,error
橈,木,10,ráo
嗍,口,13,suō
郏,阝,8,jiá
忑,心,7,tè
髓,骨,21,suǐ
揙,扌,12,error
艘,舟,15,sōu
淝,氵,11,féi
燥,火,17,zào
彦,彡,9,yàn
篩,竹,6,error
奪,大,3,error
藭,艹,12,qionɡ
据,扌,11,jù
觵,角,13,ɡōnɡ
鏹,钅,17,qiānɡ
煺,火,13,tuì
签,竹,13,qiān
氇,毛,16,lu
辆,车,11,liànɡ
瘋,疒,9,fēnɡ
和,口,8,hé
瀏,氵,9,liú
庐,广,7,lú
折,扌,7,shé
蠟,虫,14,là
鈣,钅,9,ɡài
炤,灬,9,zhāo
鰧,艹,18,ténɡ
窨,穴,14,xūn
蒬,艹,15,yuān
漱,氵,14,shù
猹,犭,12,chá
鲼,鱼,17,fèn
宾,宀,10,bīn
槊,木,14,shuò
镍,钅,15,niè
偏,亻,11,piān
珎,王,9,zhēn
齑,齐,15,jī
婓,女,8,fēi
緒,纟,11,xù
饕,飠,22,tāo
湛,氵,12,zhàn
臚,月,4,error
诞,讠,8,dàn
因,囗,6,yīn
虫,虫,6,chónɡ
聯,耳,12,lián
詳,讠,8,xiánɡ
鑷,钅,15,niè
卹,忄,9,xù
狸,犭,10,lí
顿,页,10,dùn
暁,日,10,xiǎo
蜀,虫,13,shǔ
檉,木,5,nǐnɡ
锌,钅,12,xīn
刎,刂,6,wěn
鼐,鼎,14,nai
餔,飠,8,error
芙,艹,7,fú
供,亻,8,ɡònɡ
貝,贝,4,bèi
樞,木,8,shū
厣,厂,11,yǎn
琢,王,12,zhuó
嶧,山,3,error
枫,木,8,fēnɡ
憯,忄,15,cǎn
估,亻,7,ɡū
殳,殳,4,shū
谲,讠,14,jué
阶,阝,6,jiē
騾,马,14,luó
杀,木,6,shā
韋,韦,4,wéi
响,口,9,xiǎnɡ
界,田,9,jiè
量,里,12,liànɡ
廑,广,14,jǐn
罐,缶,23,ɡuàn
壕,土,17,háo
拙,扌,8,zhuō
泝,氵,13,sù
赜,贝,15,zé
靠,非,15,kào
呢,口,8,ne
酤,酉,12,ɡū
魨,魚,8,error
扮,扌,7,bàn
汲,氵,6,jí
裵,衣,10,yīn
嗷,口,13,áo
鋹,釒,16,chǎnɡ
忻,忄,7,xīn
姿,女,9,zī
蒂,艹,12,dì
洇,氵,9,yīn
看,目,9,kàn
銎,金,14,qiónɡ
徐,彳,10,xú
鲒,鱼,14,jié
蔗,艹,14,zhè
掘,扌,11,jué
輛,车,11,liànɡ
瞠,目,16,chēnɡ
倥,亻,10,kōnɡ
娩,女,10,miǎn
箨,竹,14,tuò
搭,扌,12,dā
辰,辰,7,chén
嚶,口,14,yīnɡ
爹,父,10,diē
鎸,钅,4,error
傺,亻,13,chì
簽,竹,13,qiān
鶼,鸟,5,error
媾,女,13,ɡòu
擂,扌,16,lèi
狎,犭,8,xiá
鹑,鸟,13,chún
孓,子,3,jué
糒,米,6,error
敗,贝,8,bài
潛,氵,15,qián
胚,月,9,pēi
諞,讠,11,piǎn
埠,土,11,bù
铢,钅,11,zhū
凤,几,4,fènɡ
黦,黑,20,yè
寨,宀,14,zhai
飪,饣,7,rèn
旬,日,6,xún
腯,月,11,dùn
乱,乙,7,luàn
濰,氵,11,error
長,长,4,error
剹,戈,15,lù
饿,饣,10,è
箍,竹,14,ɡū
崎,山,11,qí
逐,辶,10,zhú
阔,门,12,kuò
趙,走,9,zhào
漚,氵,7,ōu
莝,艹,9,yú
岣,山,8,ɡǒu
焦,灬,12,jiāo
閩,门,9,mǐn
梫,木,8,yìn
溯,氵,13,sù
贮,贝,8,zhù
撳,扌,12,qìn
茲,艹,11,error
尸,尸,3,shī
鼺,鼠,13,error
刼,力,7,jié
皿,皿,5,mǐn
锾,钅,14,huán
桀,木,10,jié
賃,贝,4,error
俅,亻,9,qiú
湄,氵,12,méi
苇,艹,7,wěi
摈,扌,13,bìn
寍,宀,5,nínɡ
穌,禾,13,sū
黏,黍,17,nián
凑,冫,11,còu
埕,土,10,chénɡ
癔,疒,18,yì
淙,氵,11,cónɡ
佚,亻,7,yì
孢,子,8,bāo
翥,羽,14,zhù
鹤,鸟,15,hè
坪,土,8,pínɡ
语,讠,9,yǔ
浮,氵,10,fú
僻,亻,15,pì
鏽,钅,16,màn
囿,囗,9,yòu
鎒,耒,6,error
沘,氵,4,yú
弥,弓,8,mí
纤,纟,6,xiān
鈧,钅,9,kànɡ
璨,王,17,càn
説,讠,9,shuō
朵,木,6,duǒ
蚴,虫,11,yòu
鲸,鱼,16,jīnɡ
銼,钅,4,error
喾,口,12,kù
襁,衤,17,qiǎnɡ
毂,殳,13,ɡū
轅,车,14,yuán
懆,忄,16,cǎo
蕉,艹,15,jiāo
塋,艹,11,error
柊,木,12,zhōnɡ
魍,鬼,17,wǎnɡ
酑,酉,7,error
呓,口,7,yì
觖,角,11,jué
晟,日,10,shènɡ
壠,土,5,lǒnɡ
鯢,鱼,8,error
牧,牜,8,mù
哨,口,10,shào
衫,衤,8,shān
韪,韦,13,wěi
櫬,木,13,chèn
蹯,足,19,fán
惰,忄,12,duò
葳,艹,12,wēi
更,曰,7,ɡènɡ
驷,马,8,sì
糸,糸,6,jiǎo
狼,犭,10,lánɡ
陿,犭,9,xiá
